Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2013,88,Next To Me,Imagine Dragons,,,,3:50,67,31VOknKjFrEX47bZXzqcoF
2013,89,Mama's Broken Heart,Miranda Lambert,,,country,2:57,64,2mXsZsJBThTaJXbNcg5QD4
2013,90,It Goes Like This,Thomas Rhett,,,"country, acoustic country, pop country",3:06,60,6GsAD8PgHxmEuIPTG8GP3M
2013,91,Bugatti,Ace Hood,Future,Rick Ross,,4:29,58,08ljt6NCNAgewQaMya1URa
2013,92,Wanted Dead Or Alive,Bon Jovi,,,glam metal,5:08,72,0oerlffJSzhRVvtDfLcp3N
2013,93,Downtown,Anitta,J Balvin,,"brazilian pop, funk pop, funk carioca, funk, pagode baiano",3:13,77,3Ga6eKrUFf12ouh9Yw3v2D
2013,94,Get Your Shine On,Florida Georgia Line,,,"country, pop country, acoustic country",3:42,55,6s9ICeczYOfbHHIaSMq9jd
2013,95,#thatPOWER,will.i.am,Justin Bieber,,,4:39,52,37qlkp5VImuuYcXZI6aiam
2013,96,Brave,Sara Bareilles,,,,3:40,64,6Uy6K3KdmUdAfelUp0SeXn
2013,97,Let Her Go,Passenger,,,folk pop,4:12,72,1KxwZYyzWNyZSRyErj2ojT
2013,98,Runnin' Outta Moonlight,Randy Houser,,,"country, acoustic country",3:13,61,4vlJejZrcujj0nSCqIBeWn
2013,99,I'm Different,2 Chainz,,,"rap, southern hip hop",3:27,56,6J5sxraPPZ4b0CVOGAgpXj
2013,100,Still into You,Paramore,,,"pop punk, emo, emo pop",3:36,58,3SXXFIZel1VQQ4ENiqozxi
2014,1,Happy Birthday To You - Classic Version,Happy Birthday Songs,,,,0:33,46,2pW5kNCx133MWWirxegvng
2014,2,Dark Horse,Katy Perry,Juicy J,,pop,3:35,73,5jrdCoLpJSvHHorevXBATy
2014,3,All of Me,John Legend,,,"soft pop, neo soul",4:29,84,3U4isOIWM3VvDubwSI3y7a
2014,4,Fancy,Drake,T.I.,Swizz Beatz,"rap, hip hop",5:19,71,3fpTMuD1u3gJlVI4FadVHs
2014,5,Counting Stars,OneRepublic,,,soft pop,4:17,73,6sy3LkhNFjJWlaeSMNwQ62
2014,6,Talk Dirty (feat. 2 Chainz),Jason Derulo,2 Chainz,,,2:57,65,6g6A7qNhTfUgOSH7ROOxTD
2014,7,Rude,MAGIC!,,,,3:44,81,6RtPijgfPKROxEzTHNRiDp
2014,8,All About That Bass,Meghan Trainor,,,,3:07,71,5jE48hhRu8E6zBDPRSkEq7
2014,9,Problem,Ariana Grande,Iggy Azalea,,pop,3:13,75,7vS3Y0IKjde7Xg85LWIEdP
2014,10,Mayonaka no Door / Stay With Me,Miki Matsubara,,,"city pop, j-pop",5:12,73,2BHj31ufdEqVK5CkYDp9mA
2014,11,Timber,Pitbull,Kesha,,,3:24,82,3cHyrEgdyYRjgJKSOiOtcS
2014,12,Pompeii,Bastille,,,,3:34,68,3gbBpTdY8lnQwqxNCcf795
2014,13,Shake It Off,Taylor Swift,,,,3:39,68,5xTtaWoae3wi06K5WfVUUH
2014,14,Am I Wrong,Nico & Vinz,,,,4:05,76,1fidCEsYlaVE3pHwKCvpFZ
2014,15,Turn Down for What,DJ Snake,Lil Jon,,,3:33,68,67awxiNHNyjMXhVgsHuIrs
2014,16,The Monster,Eminem,Rihanna,,"rap, hip hop",4:10,78,48RrDBpOSSl1aLVCalGl5C
2014,17,Say Something,A Great Big World,Christina Aguilera,,,3:49,68,6Vc5wAMmXdKIAM7WUoEb7N
2014,18,Team Tomodachi,千葉雄喜,,,j-rap,2:32,53,51MTYQC6SuyRsGQsrP9BEu
2014,19,Let Her Go,Passenger,,,folk pop,4:12,72,1KxwZYyzWNyZSRyErj2ojT
2014,20,Royals,Lorde,,,,3:10,56,4SDWMFvYJKtK1QPhIOeZhd
2014,21,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,,,musicals,3:43,75,0qcr5FMsEO85NAQjrlDRKo
2014,22,Wake Me Up,Avicii,,,edm,4:07,85,0nrRP2bk19rLc0orkWPQk2
2014,23,Demons,Imagine Dragons,,,,2:55,71,3LlAyCYU26dvFZBDUIMb7a
2014,24,Story of My Life,One Direction,,,,4:05,84,4nVBt6MZDDP6tRVdQTgxJg
2014,25,Chandelier,Sia,,,,3:36,68,2s1sdSqGcKxpPr5lCl7jAV
2014,26,Black Widow,Iggy Azalea,Rita Ora,,,3:29,63,7pNC5ZIKtwUK0ReSpM3P9f
2014,27,Bang Bang,K'NAAN,Adam Levine,,,3:06,71,61YzdCCBPM5Pc7lIiD5i8C
2014,28,Latch,Disclosure,Sam Smith,,house,4:15,66,1DunhgeZSEgWiIYbHqXl0c
2014,29,Maps,Yeah Yeah Yeahs,,,indie rock,3:39,74,0hDQV9X1Da5JrwhK8gu86p
2014,30,Loyal (feat. Lil Wayne & Tyga),Chris Brown,Lil Wayne,Tyga,r&b,4:24,74,5BrTUo0xP1wKXLJWUaGFtk
2014,31,Best Day Of My Life,American Authors,,,,3:14,77,5Hroj5K7vLpIG4FNCRIjbP
2014,32,Habits (Stay High),Tove Lo,,,,3:29,74,14OxJlLdcHNpgsm4DRwDOB
2014,33,Summertime Sadness,Lana Del Rey,,,,4:25,64,2dBwB667LHQkLhdYlwLUZK
2014,34,Boom Clap,Charli xcx,,,"hyperpop, art pop",2:49,60,0Y1MWB026LYxGvhq4EcMiC
2014,35,Drunk in Love (feat. Jay-Z),Beyoncé,JAY-Z,,,5:23,69,6jG2YzhxptolDzLHTGLt7S
2014,36,Anaconda,Nicki Minaj,,,,4:20,59,794F99D5BQHS5ZGRXAs7I5
2014,37,Break Free,Ariana Grande,Zedd,,pop,3:34,76,12KUFSHFgT0XCoiSlvdQi4
2014,38,Bailando - Spanish Version,Enrique Iglesias,Descemer Bueno,Gente De Zona,"latin pop, latin",4:03,63,32lm3769IRfcnrQV11LO4E
2014,39,Burn,Phillipa Soo,,,musicals,3:45,67,4B3qvzOMzLQXLeYgPsG3KA
2014,40,Wiggle (feat. Snoop Dogg),Jason Derulo,Snoop Dogg,,,3:13,53,2sLwPnIP3CUVmIuHranJZU
2014,41,Rather Be (feat. Jess Glynne),Clean Bandit,Jess Glynne,,,3:47,71,3s4U7OHV7gnj42VV72eSZ6
2014,42,Don't Tell 'Em,Jeremih,YG,,,4:26,72,0Dc7J9VPV4eOInoxUiZrsL
2014,43,Show Me How,Men I Trust,,,"bedroom pop, indie pop",3:35,78,75IQVo8hqI1iwVZyvkN2VT
2014,44,Wrecking Ball,Miley Cyrus,,,,3:41,78,2vwlzO0Qp8kfEtzTsCXfyE
2014,45,Not a Bad Thing,Justin Timberlake,,,,11:28,52,3nB82yGjtbQFSU0JLAwLRH
2014,46,Roar,Katy Perry,,,pop,3:43,77,27tNWlhdAryQY04Gb2ZhUI
2014,47,Ain't It Fun,Paramore,,,"pop punk, emo, emo pop",4:56,58,3yrvQHw6pQemsrCQEpMnKv
2014,48,The Man,Taylor Swift,,,,3:10,77,3RauEVgRgj1IuWdJ9fDs70
2014,49,This Is How We Roll,Florida Georgia Line,Luke Bryan,,"country, pop country, acoustic country",3:40,66,2TR7A4ulH9R1PNwMyd8o8U
2014,50,Classic,MKTO,,,,2:55,79,6FE2iI43OZnszFLuLtvvmg
2014,51,"A Sky Full of Stars - Live at the Royal Albert Hall, London",Coldplay,,,,4:38,53,2WXTF0qgKbczC2O8VymeLO
2014,52,Don't Stop Believin',Journey,,,"album rock, classic rock",4:08,72,77NNZQSqzLNqh2A9JhLRkg
2014,53,Na Na,Trey Songz,,,r&b,3:51,60,5maiP9UMnTSgoxPX8X3bdz
2014,54,Hot Boy (feat. Lil Baby),Nardo Wick,Lil Baby,,,2:49,56,31yydnZnSeCwkRPY7tlgQJ
2014,55,"Hold On, We're Going Home",Drake,Majid Jordan,,"rap, hip hop",3:47,70,2aSC2xhRxOLiiZZVjhbylH
2014,56,Sigma Boy - Сигма Бой,Betsy,Мария Янковская,,,2:14,77,23UBSdCPcsloNVmQZ508Zv
2014,57,Radioactive,Imagine Dragons,,,,3:06,70,4G8gkOterJn0Ywt6uhqbhp
2014,58,My Hitta,YG,Jeezy,Rich Homie Quan,hyphy,3:56,25,5G47DlluL671zo0k3OhoSm
2014,59,Cool Kids,Echosmith,,,,3:57,71,13P5rwmk2EsoFRIz9UCeh9
2014,60,Hey Brother,Avicii,,,edm,4:15,79,4lhqb6JvbHId48OUJGwymk
2014,61,Trumpets,Jason Derulo,,,,3:37,58,5KONnBIQ9LqCxyeSPin26k
2014,62,Animals,Maroon 5,,,pop,3:51,79,2bL2gyO6kBdLkNSkxXNh6x
2014,63,Burnin' It Down,Jason Aldean,,,"country, acoustic country",3:39,63,32FcjEWPn4aSRqJ6loL01b
2014,64,Play It Again,Luke Bryan,,,"country, acoustic country",3:46,72,03fT3OHB9KyMtGMt2zwqCT
2014,65,2 On (feat. ScHoolboy Q),Tinashe,ScHoolboy Q,,alternative r&b,3:47,78,3jVtllWS5CFFWLQng8sKsr
2014,66,Dirty,KSI,,,,3:03,73,0z93LiOLVx8thr9eD2r9uV
2014,67,Love Runs Out,OneRepublic,,,soft pop,3:44,59,5BJSZocnCeSNeYMj3iVqM7
2014,68,Bottoms Up (feat. Nicki Minaj),Trey Songz,Nicki Minaj,,r&b,4:02,70,4AYX69oFP3UOS1CFmV9UfO
2014,69,Shower,Becky G,,,"reggaeton, latin",3:26,75,3DmW6y7wTEYHJZlLo1r6XJ
2014,70,Me And My Broken Heart,Rixton,,,,3:13,74,1oew3nFNY3vMacJAsvry0S
2014,71,Animals,Maroon 5,,,pop,3:51,79,2bL2gyO6kBdLkNSkxXNh6x
2014,72,Lifestyle,Rich Gang,Young Thug,Rich Homie Quan,,4:29,68,7DTlsMOQjGysXHpwwpHuPl
2014,73,American Kids,Kenny Chesney,,,country,3:02,70,1dgWTMoHwTUnQhOQ8SR5fV
2014,74,Brave,Sara Bareilles,,,,3:40,64,6Uy6K3KdmUdAfelUp0SeXn
2014,75,Sweater Weather,The Neighbourhood,,,,4:00,89,2QjOHCTQ1Jl3zawyYOpxh6
2014,76,Leave The Night On,Sam Hunt,,,"country, pop country",3:12,59,3wx2kQWPn9p5UppQbNhPAk
