Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2021,20,Astronaut In The Ocean,Masked Wolf,,,,2:12,69.0,3Ofmpyhv5UAQ70mENzB277
2021,21,34+35,Ariana Grande,,,,2:53,74.0,6Im9k8u9iIzKMrmV7BWtlF
2021,22,What You Know Bout Love,Pop Smoke,,,,2:40,77.0,1tkg4EHVoqnhR6iFEXb60y
2021,23,my ex's best friend (with blackbear),mgk,blackbear,,,2:19,70.0,7kDUspsoYfLkWnZR7qwHZl
2021,24,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Jack Harlow,,,3:32,73.0,27NovPIUIRrOZoCHxABJwK
2021,25,Therefore I Am,Billie Eilish,,,,2:53,72.0,20R4HfKloPKgXDqU7UKk3x
2021,26,Up,Cardi B,,,,2:36,67.0,1M4OcYkxAtu3ErzSgDEfoi
2021,27,Fancy Like,Walker Hayes,,,,2:41,68.0,58UKC45GPNTflCN6nwCUeF
2021,28,DÁKITI,Bad Bunny,JHAYCO,,,3:25,76.0,47EiUVwUp4C9fGccaPuUCS
2021,29,Best Friend (feat. Doja Cat),Saweetie,Doja Cat,,,2:35,69.0,20BOju91NaEFK5Py4VJ2pp
2021,30,RAPSTAR,Polo G,,,,2:45,78.0,18vXApRmJSgQ6wG2ll9AOg
2021,31,Heartbreak Anniversary,Giveon,,,,3:18,78.0,3FAJ6O0NOHQV8Mc5Ri6ENp
2021,32,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Lil Baby,DaBaby,,3:10,73.0,0PvFJmanyNQMseIFrU708S
2021,33,Calling My Phone,Lil Tjay,6LACK,,,3:25,73.0,3J8EOeKLTLXORtWPpOU5bE
2021,34,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,Megan Thee Stallion,,,3:47,74.0,5zFglKYiknIxks8geR8rcL
2021,35,Holy (feat. Chance The Rapper),Justin Bieber,Chance the Rapper,,,3:32,66.0,5u1n1kITHCxxp8twBcZxWy
2021,36,On Me,Lil Baby,,,,2:15,70.0,4Iedi94TIaB2GGb1nMB68v
2021,37,you broke me first,Tate McRae,,,,2:50,82.0,4l0RmWt52FxpVxMNni6i63
2021,38,traitor,Olivia Rodrigo,,,,3:49,83.0,5CZ40GBx1sQ9agT82CLQCT
2021,39,Back in Blood (feat. Lil Durk),Pooh Shiesty,Lil Durk,,,3:04,69.0,7FGdjbZ32vMybPuP0IuE7d
2021,40,I Hope,Gabby Barrett,,,,3:30,67.0,23T0OX7QOiIUFShSzbJ5Uo
2021,41,Dynamite,BTS,,,,3:19,79.0,5QDLhrAOJJdNAmCTJ8xMyW
2021,42,Wockesha,Moneybagg Yo,,,,3:00,62.0,0nqhKXDjsyBMvbeWmgijD0
2021,43,You Right,Doja Cat,The Weeknd,,,3:06,74.0,0k4d5YPDr1r7FX77VdqWez
2021,44,Beat Box 4 (with NLE Choppa),SpotemGottem,NLE Choppa,,,3:32,59.0,2LbNkvmYabhVf9jBCVeLm7
2021,45,Laugh Now Cry Later (feat. Lil Durk),Drake,Lil Durk,,,4:21,73.0,2SAqBLGA283SUiwJ3xOUVI
2021,46,Need to Know,Doja Cat,,,,3:30,75.0,3Vi5XqYrmQgOYBajMWSvCi
2021,47,Wants and Needs (feat. Lil Baby),Drake,Lil Baby,,,3:12,74.0,65OVbaJR5O1RmwOQx0875b
2021,48,Way 2 Sexy (with Future & Young Thug),Drake,Future,Young Thug,,4:17,71.0,0k1WUmIRnG3xU6fvvDVfRG
2021,49,telepatía,Kali Uchis,,,,2:40,81.0,6tDDoYIxWvMLTdKpjFkc1B
2021,50,Whoopty,CJ,,,,2:03,67.0,1t9WgS8FN0534tLBRwbaxO
2021,51,Lemonade (feat. NAV),Internet Money,Gunna,Don Toliver,,3:15,77.0,1p0rEzrK7YtdRZVtiyV7RN
2021,52,Good Days,SZA,,,,4:38,77.0,4PMqSO5qyjpvzhlLI5GnID
2021,53,Starting Over,Chris Stapleton,,,,4:00,74.0,3K07bGe8iljQ3mOKArHLDo
2021,54,Body,Megan Thee Stallion,,,,2:51,66.0,0A1hoCfMLkiAgvhWkkucJa
2021,55,willow,Taylor Swift,,,,3:34,73.0,0lx2cLdOt3piJbcaXIV74f
2021,56,Bang!,AJR,,,,2:50,69.0,4SQLQfcR0vhyIN4uPBlc0d
2021,57,Better Together,Luke Combs,,,,3:39,70.0,6gdLyYNuhWBzqwlOFSsXC7
2021,58,You're Mines Still (feat. Drake),Yung Bleu,Drake,,,3:46,66.0,6tiKwZppNjrls8RsPQwK6r
2021,59,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,Lil Baby,Lil Durk,,3:56,69.0,1EJIcDYXwSqipW5dFe4uJz
2021,60,Essence (feat. Tems),Wizkid,Tems,,,4:08,70.0,5FG7Tl93LdH117jEKYl3Cm
2021,61,Chasing After You (with Maren Morris),Ryan Hurd,Maren Morris,,,3:27,58.0,1ZIKpMTRPqhwAoVXWY3tXI
2021,62,The Good Ones,Gabby Barrett,,,,3:35,65.0,3hLuHKzG1cmlRpq53ZVWd8
