Year,Rank,Title,Artist,Spotify ID,Genres,Duration,Popularity
2007,93,Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain",3wKKkGVn7cVSfgPeYYIiXG,r&b,4:10,72
2007,94,Far Away,Nickelback,0ADZ5dmXhlfzjMw6lefoPl,"post-grunge, rock",3:58,67
2007,95,Rock Yo Hips,Crime Mob,76dZuMVXjIyLPRLv00skGd,"crunk, southern hip hop",3:46,57
2007,96,LoveStoned / I Think She Knows (Interlude),Justin Timberlake,5iyE2d4U3Vc5cqY9mPTlpy,,7:24,55
2007,97,Better Than Me,Doja Cat,1ZiJGdjNtvgngdT3wRKVqS,,3:22,55
2007,98,Paralyzer,Finger Eleven,28IEbk5a7twNTbUEvWslUb,,3:28,74
2007,99,That's That,lou deezi,08ZPPS44d64Vv7HnCy96a2,,2:29,55
2007,100,Same Girl (with Usher),"R. Kelly, USHER",6OSmeoh8kXhCfz9WqvzDoJ,r&b,4:12,59
2008,1,Low (feat. T-Pain),"Flo Rida, T-Pain",0CAfXk7DXMnon4gLudAp7J,,3:51,79
2008,2,Bleeding Love,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE,,4:22,77
2008,3,No One Noticed,The Marías,3siwsiaEoU4Kuuc9WKMUy5,bedroom pop,3:56,87
2008,4,Lollipop,The Chordettes,0ZOuues7b9AgBOJ0YRZMLR,doo-wop,2:10,58
2008,5,Apologize,"Timbaland, OneRepublic",6ucR4KfvsBFWCMVFDvyKKl,,3:04,72
2008,6,No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown",1jUA4rb6ZCv4gby4YU53xq,,4:24,71
2008,7,Love Songs - Bonus,Kaash Paige,6qL5UWxRSQYml9O99ozoLv,,2:28,80
2008,8,Love in This Club (feat. Young Jeezy),"USHER, Jeezy",5j0McHPthKpOXRr3fBq8M0,r&b,4:19,73
2008,9,With You,Chris Brown,5Lgcn7u07bHuqbOtXkN62u,r&b,4:12,76
2008,10,Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,synthpop,3:46,81
2008,11,Sexy Can I,"Ray J, Yung Berg",1LnATvtXXioQNPeKTT4x9T,,3:24,61
2008,12,Take A Bow,Rihanna,3goSVuTt3fDYDP6kRnFwuL,,3:49,73
2008,13,Viva La Vida,Coldplay,1mea3bSkSGXuIRvnydlB5b,,4:02,86
2008,14,I Kissed A Girl,Katy Perry,005lwxGU1tms6HGELIcUv9,pop,2:59,68
2008,15,Whatever You Like,T.I.,1IAzD1muglOxOcPbUHs70R,southern hip hop,4:09,73
2008,16,Disturbia,Rihanna,2VOomzT6VavJOGBeySqaMc,,3:58,77
2008,17,Don't Stop The Music,Rihanna,0ByMNEPAPpOR5H69DVrTNy,,4:27,80
2008,18,Pocketful of Sunshine,Natasha Bedingfield,1uigwk5hNV84zRd5YQQRTk,,3:22,74
2008,19,Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain",3wKKkGVn7cVSfgPeYYIiXG,r&b,4:10,72
2008,20,Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,,4:04,85
2008,21,Bubbly,Colbie Caillat,0rFOs9paloAvEtzwDX1Kmc,,3:16,65
2008,22,Touch My Body,Mariah Carey,2aEuXA1KswHlCGPOuPmCOW,christmas,3:24,70
2008,23,4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,1dDNz8h95Gsu0W4QdxVVln,,4:05,56
2008,24,So What,P!nk,0JiY190vktuhSGN6aqJdrt,,3:35,75
2008,25,Paralyzer,Finger Eleven,28IEbk5a7twNTbUEvWslUb,,3:28,74
2008,26,Clumsy,Fergie,50xeLNGKmskmYUSINhqvfa,,4:00,60
2008,27,I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,"soft pop, acoustic pop",4:02,74
2008,28,Leavin',Jesse McCartney,20ORwCJusz4KS2PbTPVNKo,,3:36,59
2008,29,Dangerously In Love,Beyoncé,0KFuXEdOp5QfIfxHR6TJSm,,4:53,58
